본관	파	이름	파(한자)	이표기	상위	계	파조	파조(한자)	수록 인물수	파조 노드
전주 이씨	송산도정파	송산도정파	松山都正派		효령대군파		송산도정		7946	
전주 이씨	무산군파	무산군파	茂山君派				무산군		7887	wd:Q12595546
전주 이씨	순평군파	순평군파	順平君派				순평군		7777	wd:Q12603484
전주 이씨	완원대군파	완원대군파	完原大君派				완원대군		7751	wd:Q8512743
전주 이씨	진남군파	진남군파	鎭南君派				진남군		7525	
전주 이씨	장천군파	장천군파	桂城君派				장천군		7446	
전주 이씨	정석군파	정석군파	桂城君派				정석군		7381	wd:Q12615702
전주 이씨	양원군파	양원군파	楊原君派				양원군		7018	wd:Q24865870
전주 이씨	희령군파	희령군파	熙寧君派				희령군		6963	wd:Q16185153
전주 이씨	장평부정파	장평부정파	長平副正派		양녕대군파		장평부정		6594	
전주 이씨	돌산부정파	돌산부정파	突山副正派		양녕대군파		돌산부정		6248	
전주 이씨	주계군파	주계군파	朱溪君派		효령대군파		주계군		6183	
전주 이씨	안창정파	안창정파	安昌正派		양녕대군파		안창정		6018	
전주 이씨	영산군파	영산군파	寧山君派				영산군		5983	
전주 이씨	계양군파	계양군파	桂陽君派				계양군		5663	wd:Q12584013
전주 이씨	함성대군파	함성대군파	咸城大君派				함성대군		5476	wd:Q8512788
전주 이씨	함릉대군파	함릉대군파	咸陵大君派				함릉대군		5323	wd:Q8512781
전주 이씨	강성도정파	강성도정파	江城都正派		효령대군파		강성도정		5283	
전주 이씨	서산군파	서산군파	瑞山君派		양녕대군파		서산군		5239	wd:Q16170211
전주 이씨	기천부정파	기천부정파	箕川副正派		효령대군파		기천부정		4845	
전주 이씨	함원대군파	함원대군파	咸原大君派				함원대군		4822	wd:Q8512801
전주 이씨	도평군파	도평군파	桂城君派				도평군		4733	
전주 이씨	관성도정파	관성도정파	觀城都正派		효령대군파		관성도정		4671	
전주 이씨	한남군파	한남군파	漢南君派				한남군		4659	wd:Q16171523
전주 이씨	회산군파	회산군파	檜山君派				회산군		4481	
전주 이씨	금성대군파	금성대군파	錦城大君派				금성대군		4323	wd:Q12586496
전주 이씨	칠산군파	칠산군파	漆山君派	㓒山君派	효령대군파		칠산군		4203	
전주 이씨	운천군파	운천군파	雲川君派				운천군		4160	wd:Q16164384
전주 이씨	무산부정파	무산부정파	茂山副正派		효령대군파		무산부정		4128	
전주 이씨	계성군파	계성군파	桂城君派				계성군		4056	wd:Q12583997
전주 이씨	양록부정파	양록부정파	陽麓副正派		효령대군파		양록부정		4011	
전주 이씨	완천대군파	완천대군파	完川大君派				완천대군		3925	wd:Q8512750
전주 이씨	인성군파	인성군파	仁城君派				인성군		3833	wd:Q16188659
전주 이씨	금란부정파	금란부정파	金蘭副正派		효령대군파		금란부정		3663	
전주 이씨	장제부정파	장제부정파	長堤副正派		효령대군파		장제부정		3662	
전주 이씨	익현군파	익현군파	益峴君派				익현군		3652	wd:Q12613322
전주 이씨	경명군파	경명군파	景明君派				경명군		3613	wd:Q12583628
전주 이씨	종의군파	종의군파	桂城君派				종의군		3591	wd:Q16184707
전주 이씨	의창군파	의창군파	義昌君派				의창군		3583	
전주 이씨	의신군파	의신군파	義新君派		효령대군파		의신군		3529	
전주 이씨	경평군파	경평군파	慶平君派				경평군		3517	
전주 이씨	의안군파	의안군파	義安君派				의안군		3494	
전주 이씨	함원군파	함원군파	咸原君派		효령대군파		함원군		3421	
전주 이씨	월산대군파	월산대군파	月山大君派				월산대군		3416	wd:Q16167043
전주 이씨	옥산부정파	옥산부정파	玉山副正派		효령대군파		옥산부정		3395	
전주 이씨	견성군파	견성군파	甄城君派				견성군		3309	
전주 이씨	경창군파	경창군파	慶昌君派				경창군		3187	wd:Q16180332
전주 이씨	혜령군파	혜령군파	惠寧君派				혜령군		3149	
전주 이씨	견양군파	견양군파	甄陽君派		효령대군파		견양군		3113	
전주 이씨	삼계부정파	삼계부정파	森溪副正派		효령대군파		삼계부정		3083	
전주 이씨	안양군파	안양군파	安陽君派				안양군		3083	wd:Q6783327
전주 이씨	평고도정파	평고도정파	平皐都正派	平臯都正派	효령대군파		평고도정		2948	
전주 이씨	이성군파	이성군파	利城君派				이성군		2826	wd:Q12611762
전주 이씨	두원부정파	두원부정파	豆原副正派		효령대군파		두원부정		2797	
전주 이씨	명원군파	명원군파	明原君派		효령대군파		명원군		2789	
전주 이씨	밀산부수파	밀산부수파	密山副守派				밀산부수		2766	
전주 이씨	임성군파	임성군파	桂城君派				임성군		2735	wd:Q12613853
전주 이씨	파성군파	파성군파	把城君派		효령대군파		파성군		2450	
전주 이씨	평장사공파	평장사공파 (전주 이씨)	平章事公派				평장사공		2386	
전주 이씨	고양부정파	고양부정파	高陽副正派		효령대군파		고양부정		2353	
전주 이씨	후령군파	후령군파	厚寧君派				후령군		2341	
전주 이씨	황려도정파	황려도정파	黃驪副正派				황려도정		2153	
전주 이씨	전성군파	전성군파	全城君派				전성군		2138	wd:Q16173698
전주 이씨	인흥군파	인흥군파	仁興君派				인흥군		2037	
전주 이씨	재양부정파	재양부정파	載陽副正派		효령대군파		재양부정		1962	
전주 이씨	완성대군파	완성대군파	完城大君派				완성대군		1845	wd:Q8512736
전주 이씨	함녕대군파	함녕대군파	咸寧大君派				함녕대군		1739	wd:Q8512773
전주 이씨	임도수파	임도수파	臨道守派		효령대군파		임도수		1730	
전주 이씨	효령대군 본파	효령대군 본파	孝寧大君本派		효령대군파		효령대군		1658	wd:Q483255
전주 이씨	봉안군파	봉안군파	鳳安君派				봉안군		1629	
전주 이씨	은풍도정파	은풍도정파	殷豐都正派	殷豊都正派	효령대군파		은풍도정		1598	
전주 이씨	음평부수파	음평부수파	陰平副守派		효령대군파		음평부수		1522	
